1337, 2468, 3520, 0.6531, -3.9175463, -0.21451712
2580, 767, 1687, -2.1339178, -2.2436166, 1.0390276
4527, 2846, 3407, -0.6515211, 3.1548495, 1.1115497
3884, 1820, 2646, -3.751365, -2.2158937, 0.049013495
1825, 3127, 2524, -0.90889096, -3.3101134, -4.085922
672, 3200, 1171, -0.5792397, -2.563206, 0.74495614
2541, 1113, 1831, -3.0755157, 2.3216307, -0.31640887
1108, 3748, 2187, 1.9632584, 2.1890445, 1.3695508
1239, 4483, 3237, 1.4980322, -0.7393855, 2.3344617
1563, 469, 1559, 1.7347312, -1.6029632, -1.7703646
3103, 795, 447, 1.379708, 1.8930179, -0.2892822
3624, 1811, 2789, -0.44325113, 1.3628626, -4.6442423
2853, 4502, 3321, -1.4138091, 0.9451264, -2.743812
4150, 452, 1275, 1.1437631, -0.8137107, 1.4445609
2823, 4899, 1947, 1.4237708, 0.3740555, 1.6208375
2911, 1819, 1709, -3.2844849, -0.24171948, -3.8633542
343, 3521, 3576, -0.51757574, 1.2970209, -2.439264
3148, 1492, 3914, -2.210352, -2.0614223, -2.5663686
309, 3893, 1960, -0.87105453, -1.1325252, 2.5521362
2659, 1000, 284, 2.0417862, 1.4393818, 0.9444648
3331, 4065, 214, -1.9037396, 0.94867706, -0.20524263
3514, 2222, 1622, 1.9208634, -2.1636224, 3.8965912
3233, 3165, 842, -2.4144566, 3.1738698, 0.101896524
2014, 3900, 225, 1.321224, -1.712771, -1.1613667
2805, 2620, 979, 3.8057613, -0.39767504, -1.3807255
3364, 3835, 1965, -3.03429, 2.6833928, -1.3190168
2575, 2991, 3208, 4.994802, -2.4898279, 0.73655844
3452, 2995, 1010, 1.5927792, -2.2332926, -2.3869205
2873, 3713, 2481, -1.5312415, -1.5069675, -4.6485233
699, 3186, 3126, 2.618143, 1.8903357, 1.8624324
2176, 3182, 3319, 2.1186905, 4.8898416, -0.46672225
4771, 2261, 1811, -0.4136908, 0.6134212, -2.0196562
3527, 3436, 2115, 0.9287441, -4.0219283, 0.88721037
527, 3307, 850, 0.57242274, -2.3733878, -0.10859549
2847, 3478, 2209, 2.9953134, -2.8597248, -3.6734176
3094, 1303, 1278, 2.3359566, -2.1016479, 1.1489367
2272, 1619, 3824, -3.8940501, 0.13084829, 1.3698381
2080, 893, 3071, 2.2638035, -2.5744104, -2.7494783
2317, 1522, 3058, 2.6235323, -3.8205762, -1.9367707
1020, 2555, 2733, 1.3415557, 0.3212428, 3.6634386
2303, 1253, 3971, 0.53218186, -0.9671855, -2.7914948
3485, 1821, 1063, 1.6055065, 2.5652547, 1.8217814
4051, 455, 2108, -1.651153, -0.4463023, -1.9677693
3656, 2368, 3359, 2.4781764, -0.7306528, -2.518506
2748, 3034, 1711, -4.19534, 2.1648788, 2.8424954
2518, 3588, 1279, -3.760857, -0.8347231, -2.3355746
3652, 981, 2654, 1.0015106, -0.9760064, 3.1911063
1419, 4003, 1458, -0.8920783, -0.44778287, -2.98528
3474, 2062, 1971, 0.6060326, -0.7866281, 4.6316004
1655, 2502, 4327, 2.327205, 1.1223614, 2.0540376
4285, 3257, 2006, 0.3285396, -1.2317353, 2.8685057
2536, 2124, 4434, 2.1819048, -2.4895759, 0.22725344
1587, 352, 1675, -0.039907098, -1.3015556, 1.966145
281, 2341, 2651, -0.666039, -2.7624154, 1.5573496
4450, 3535, 3987, 0.28244793, 1.0722762, -1.9246876
1983, 902, 3867, -0.06923854, -2.3334277, -2.4517214
2635, 767, 2166, 1.6724217, 1.0387641, 2.7280025
3228, 3349, 1295, 2.966913, -1.4454716, 1.5508527
1675, 2459, 1436, -2.7954955, 0.9965503, 3.9269834
1683, 2936, 1688, 4.2831554, -1.0768884, -2.0393002
4060, 2129, 3386, -1.7640609, -2.786461, -1.94103
4313, 1768, 4011, 0.13638139, 2.942881, 1.2815315
4054, 1220, 3145, 0.11196911, 1.5857643, 3.2187705
1695, 2366, 3559, -0.5032939, -4.244184, 2.3436909
3167, 1981, 434, 3.2527418, 0.8650422, 0.63655436
4442, 3546, 3406, 2.018534, -1.6520703, -1.2831748
2077, 1202, 2569, 2.0934498, -0.62453985, 2.8446383
2372, 2229, 3729, 4.031134, 1.3094181, 0.9722853
3764, 2593, 1200, -2.9524577, 0.79045534, -2.068674
3909, 2680, 3083, -1.1022657, -0.98900974, 4.222831
3457, 3608, 3184, -3.9091415, 1.3986498, 0.6522888
1587, 1445, 3770, 0.22296786, -2.6630955, -1.647824
1178, 2041, 1065, 1.5485793, -2.6013155, -0.93512714
770, 953, 2539, -0.18404067, 0.20173967, -3.3712797
4473, 2703, 1384, -0.37199557, -2.3238492, -0.24953842
